TDS,Turbidity,pH,Temperature,Humidity,Result
78.69,41.17,3.03,49.63,64.95,Medium
427.14,91.56,0.8,76.65,39.2,Medium
88.96,58.4,1.63,75.61,81.02,Medium
488.61,44.93,3.11,61.94,94.18,Medium
209.74,57.25,4.58,93.97,98.65,Medium
439.92,19.3,0.05,30.58,11.5,Medium
252.67,10.38,4.81,6.2,72.13,Medium
345.79,55.28,6.75,43.01,89.76,Medium
325.51,84.77,1.68,33.29,27.49,Medium
377.86,61.69,3.43,43.35,71.78,Medium
204.49,19.82,1.48,17.86,24.15,Medium
153.9,38.02,6.57,27.5,68.92,Medium
244.1,86.69,5.2,1.05,95.9,Medium
289.65,59.19,1.28,27.9,36.35,Medium
317.95,25.53,5.88,68.21,53.57,Medium
134.21,14.61,5.49,19.7,31.7,Medium
147.27,32.49,7.21,53.26,14.51,Medium
10.33,94.65,0.29,55.15,80.54,Medium
111.45,92.79,2.69,89.25,83.03,Medium
32.18,89.13,6.69,37.88,6.56,Medium
234.08,5.73,4.81,3.29,70.24,Medium
284.98,92.79,4.08,77.62,11.11,Medium
94.02,45.16,1.03,11.74,69.88,Medium
349.76,28.23,6.67,84.91,7.59,Medium
303.75,82.19,6.3,51.14,78.71,Medium
259.44,11.84,3.67,49.98,89.11,Medium
251.95,90.26,1.61,1.22,21.27,Medium
408.02,97.94,2.51,22.18,53.85,Low
404.85,80.8,4.24,23.5,20.08,Low
256.1,13.33,6.43,2.29,53.36,Medium
130.57,88.75,7.65,36.81,63.73,Medium
375.06,10.18,0.6,63.81,88.27,Medium
20.66,1.27,1.01,38.11,5.01,Medium
264.13,5.53,7.29,35.41,80.12,Medium
119.69,94.59,6.64,72.33,74.88,Medium
415.84,54.75,3.61,32.47,71.49,Medium
81.18,12.45,7.01,56.94,57.37,Medium
109.03,45.0,1.61,11.04,12.54,Medium
393.71,40.26,6.37,68.04,55.45,Medium
239.65,79.53,2.02,87.08,99.23,Medium
194.37,77.81,2.28,19.02,12.98,Medium
92.74,74.91,4.98,23.8,98.36,Low
61.36,61.18,1.42,88.93,61.99,Medium
168.8,74.57,3.57,1.15,43.3,Medium
345.82,37.24,5.2,21.29,76.01,Medium
174.72,79.9,7.27,4.67,15.87,Medium
364.48,32.9,5.51,58.5,30.61,Medium
193.1,22.26,7.11,8.37,57.84,Medium
93.66,20.07,6.24,75.35,94.8,Medium
235.6,43.58,4.77,65.59,71.31,Medium
348.65,69.42,0.72,46.53,26.94,Medium
188.2,72.04,3.15,47.45,10.27,Medium
288.31,34.27,4.33,49.08,43.28,Medium
315.02,19.52,4.8,49.55,40.0,Medium
64.69,92.69,5.78,35.77,32.93,Medium
214.02,5.24,3.7,66.38,72.99,Medium
233.69,20.78,2.26,61.79,95.67,Medium
80.09,84.64,4.21,44.98,22.3,Medium
350.97,91.82,2.81,60.31,35.6,Medium
496.87,70.83,7.62,77.06,78.8,Medium
419.74,8.28,3.42,0.47,34.47,Medium
65.47,70.71,5.95,33.98,83.33,Medium
385.37,7.68,4.33,14.34,6.32,Medium
167.98,64.14,1.12,24.14,2.14,Low
103.38,36.94,7.3,71.53,61.36,Medium
89.77,45.39,7.9,11.17,75.68,Medium
465.64,99.89,1.71,29.73,57.65,Low
243.4,80.4,2.14,67.1,96.63,Medium
186.67,96.62,4.38,82.36,57.74,Medium
16.94,26.62,7.1,96.49,1.8,Medium
198.42,10.94,7.7,5.96,97.26,Medium
477.93,18.53,5.07,49.61,92.87,Medium
81.65,84.54,0.62,9.7,64.99,Medium
184.96,70.99,2.74,15.07,48.14,Medium
60.59,43.72,4.91,91.54,88.01,Medium
346.77,1.97,3.42,72.94,62.44,Medium
150.87,80.4,2.1,50.71,82.09,Medium
436.04,97.4,4.49,91.55,58.23,Medium
496.69,25.17,4.87,40.45,62.66,Medium
369.12,28.78,0.12,30.72,67.88,Medium
319.75,30.74,5.48,82.78,62.09,Medium
278.35,6.36,6.64,60.23,67.86,Medium
88.91,58.37,3.41,79.62,58.4,Medium
412.68,43.5,7.47,55.15,29.12,Medium
20.29,23.68,0.07,48.43,99.66,Medium
329.91,51.25,3.63,32.37,49.69,Medium
77.12,81.68,5.36,94.45,50.21,Medium
375.28,7.65,3.54,87.26,21.09,Medium
170.62,10.47,2.96,46.07,95.91,Medium
466.83,81.08,2.8,8.35,48.66,Medium
138.33,80.14,1.07,18.52,56.27,Medium
125.43,64.25,4.53,61.35,38.36,Medium
429.01,98.52,5.48,20.79,63.88,Low
431.09,9.21,3.15,8.26,81.48,Medium
347.54,68.9,2.03,58.72,84.87,Medium
191.27,82.35,6.27,95.02,9.68,Medium
172.59,25.83,7.14,10.21,82.33,Medium
177.11,19.02,5.14,0.16,79.84,Medium
348.45,40.33,5.43,36.05,98.36,Medium
413.56,0.03,4.74,45.77,5.51,Medium
84.49,60.08,3.22,15.88,45.93,Medium
113.72,49.27,3.62,89.48,53.73,Medium
364.89,40.08,1.16,1.49,61.77,Medium
51.09,69.45,7.32,61.94,21.92,Medium
297.92,43.91,7.98,32.78,16.4,Medium
383.17,43.53,5.96,42.17,74.05,Medium
254.54,65.52,1.89,66.12,64.03,Medium
2.07,36.82,2.89,46.31,71.71,Medium
135.78,48.31,5.21,38.18,72.74,Medium
181.96,51.73,1.35,44.96,38.57,Medium
349.28,82.03,2.23,60.13,64.63,Medium
116.8,20.1,7.41,16.21,15.77,Medium
231.72,51.67,4.09,75.34,23.02,Medium
350.95,6.89,6.6,57.72,74.24,Medium
418.38,59.25,7.23,9.13,95.51,Medium
83.81,2.62,7.69,2.41,1.07,Medium
416.3,79.25,7.26,8.04,54.11,Medium
185.84,58.44,0.12,11.19,61.84,Medium
392.49,68.49,1.75,76.88,20.66,Medium
72.98,29.83,4.98,24.97,88.49,Medium
147.62,89.39,4.08,90.07,22.31,Medium
282.09,23.64,4.6,60.7,60.35,Medium
138.03,84.48,0.8,15.32,10.09,Medium
332.64,85.79,4.03,78.79,22.11,Medium
14.84,31.72,7.01,97.7,92.16,Medium
463.61,39.43,3.17,58.5,76.27,Medium
136.75,40.44,3.54,7.55,40.06,Medium
31.62,59.2,0.5,10.57,21.25,Medium
217.58,62.4,4.89,89.09,95.22,Medium
42.19,41.2,0.4,14.13,53.02,Medium
492.86,65.89,0.59,39.1,42.74,Medium
46.79,64.33,4.4,56.08,95.45,Medium
347.74,1.36,0.9,67.21,52.3,Medium
291.28,55.63,5.95,13.17,93.64,Medium
488.95,61.24,1.48,97.11,8.29,Medium
104.77,86.93,1.81,91.57,90.97,Medium
220.45,53.91,3.14,35.97,12.8,Medium
121.79,88.03,7.81,61.37,46.88,Medium
223.92,39.85,4.32,11.61,84.83,Medium
96.11,0.21,7.03,60.63,64.19,Medium
49.98,99.27,1.58,95.87,83.96,Medium
75.9,46.76,3.99,58.39,11.91,Medium
219.95,72.51,6.51,1.8,57.97,Medium
447.06,93.55,3.5,46.22,82.63,Medium
320.55,18.09,0.63,81.25,7.85,Medium
491.58,55.11,1.22,54.69,13.52,Medium
165.49,88.32,0.31,96.24,98.92,Medium
43.31,35.61,7.24,80.84,95.35,Medium
311.25,86.0,7.38,69.0,68.01,Medium
237.49,61.08,2.62,57.29,39.42,Medium
120.21,0.08,0.1,56.97,38.21,Medium
350.32,96.72,4.85,34.73,22.21,Medium
310.34,94.37,7.66,59.72,87.29,Medium
64.65,78.55,7.11,67.84,51.2,Medium
252.86,54.82,4.55,78.01,58.61,Medium
387.99,2.91,4.87,14.46,94.81,Medium
287.9,84.29,1.21,69.97,33.55,Medium
73.83,50.37,5.94,92.92,70.39,Medium
491.21,93.24,5.21,41.91,84.55,Medium
443.4,10.58,4.94,99.97,21.26,Medium
33.44,39.71,2.25,26.28,43.98,Medium
121.89,7.37,6.43,63.87,76.01,Medium
219.32,90.18,4.27,54.45,27.06,Medium
5.31,65.36,0.6,16.36,47.17,Medium
309.78,68.74,0.61,89.63,55.37,Medium
18.6,20.93,6.01,78.04,48.24,Medium
365.8,46.04,2.73,85.62,42.66,Medium
262.79,58.02,5.52,25.23,95.53,Medium
386.79,63.48,3.02,61.64,71.27,Medium
290.41,5.92,0.88,66.41,70.52,Medium
337.22,3.33,6.45,99.19,44.5,Medium
261.87,5.05,4.81,5.18,45.5,Medium
108.65,10.49,0.82,24.08,26.88,Medium
166.17,4.29,4.95,20.93,41.4,Low
478.72,18.53,0.12,53.48,32.41,Medium
415.61,37.57,1.83,34.04,57.69,Medium
410.25,91.89,6.95,79.08,19.34,Medium
111.75,86.86,3.24,34.46,62.14,Medium
54.37,25.82,0.33,24.35,2.11,Medium
175.04,5.22,6.88,81.15,86.11,Medium
168.12,60.64,7.73,85.59,45.89,Medium
269.06,67.55,1.17,4.21,62.72,Medium
462.84,70.19,2.38,89.8,98.88,Medium
21.93,59.67,6.72,91.66,89.3,Medium
65.34,84.93,3.45,82.0,21.24,Medium
35.8,32.99,2.56,26.56,8.2,Medium
429.0,23.52,6.17,43.51,85.9,Medium
370.63,49.83,6.09,33.21,64.66,Medium
180.31,30.44,7.65,82.55,33.6,Medium
493.89,53.62,4.95,91.03,87.94,Medium
295.12,36.5,2.42,22.73,37.93,Medium
225.27,19.13,4.44,98.66,6.23,Medium
429.12,88.36,4.2,36.94,48.58,Medium
42.35,76.95,0.7,22.04,93.18,Low
374.77,68.88,5.43,67.01,13.85,Medium
247.92,77.26,0.79,43.82,86.99,Medium
165.31,85.24,5.49,77.36,64.91,Medium
379.84,54.83,0.09,52.53,93.57,Medium
116.26,81.68,6.04,16.74,80.69,Medium
376.43,20.01,1.43,72.81,81.07,Medium
387.77,9.84,4.79,22.12,88.57,Medium
87.61,66.04,6.38,9.69,48.19,Medium
261.4,54.21,0.44,65.26,99.59,Medium
263.43,66.16,0.87,21.18,44.33,Medium
478.24,42.27,2.71,32.69,96.58,Medium
356.78,69.73,7.93,69.35,17.71,Medium
201.24,98.34,2.06,13.84,19.74,Medium
416.42,41.86,7.5,39.0,26.94,Medium
362.96,4.18,0.86,27.54,49.39,Medium
430.73,54.15,3.09,1.45,82.29,Medium
98.7,93.96,1.73,48.52,61.4,Medium
325.92,71.56,3.08,30.04,11.3,Medium
302.43,5.86,4.72,6.46,1.38,Medium
363.62,92.1,6.98,78.19,30.71,Medium
149.75,45.83,0.58,2.91,66.18,Medium
414.37,57.36,0.25,31.54,69.93,Medium
164.93,92.8,0.64,85.26,40.83,Medium
422.35,96.65,6.97,39.75,0.72,Medium
45.43,86.96,4.82,2.63,16.17,Medium
367.29,30.66,3.81,3.25,79.96,Medium
421.9,35.25,4.43,97.63,36.62,Medium
414.27,98.76,5.61,38.69,35.77,Medium
128.79,59.81,2.82,84.11,74.51,Medium
130.79,43.55,6.65,23.75,12.13,Medium
435.46,18.36,7.23,60.76,2.99,Medium
5.54,14.78,0.29,71.76,2.11,Medium
429.52,5.12,2.14,70.56,76.11,Medium
51.51,26.33,5.13,14.35,46.7,Medium
142.37,57.25,0.55,77.57,23.3,Medium
429.44,46.47,7.97,59.58,29.59,Medium
282.71,31.3,1.04,87.26,78.23,Medium
231.8,2.69,3.95,24.41,60.31,Medium
254.1,2.99,0.62,47.71,52.7,Medium
270.82,16.31,1.23,92.93,10.38,Medium
111.74,83.67,6.73,60.2,66.27,Medium
321.52,94.88,6.08,85.2,53.02,Medium
119.02,2.31,1.69,58.9,63.96,Medium
426.23,45.03,3.79,64.75,52.67,Medium
166.01,20.48,1.21,71.37,89.75,Medium
27.54,94.77,5.64,33.75,47.15,Medium
283.56,3.23,3.8,29.14,45.24,Medium
0.94,42.52,5.83,2.02,52.74,Medium
237.49,8.66,3.06,11.22,48.54,Medium
283.47,17.2,4.67,24.01,45.95,Medium
260.62,1.74,6.58,29.4,88.41,Medium
223.77,29.82,2.0,34.68,82.11,Medium
242.27,96.49,3.47,64.25,70.9,Medium
161.91,39.71,1.88,91.2,67.63,Medium
235.52,13.53,4.71,69.19,7.82,Medium
215.72,0.02,3.1,50.49,12.65,Medium
355.98,12.04,7.93,32.69,11.02,Medium
460.72,40.4,6.2,88.08,69.6,Medium
284.47,74.35,4.9,48.44,78.83,Medium
222.82,41.4,1.82,74.95,89.11,Medium
210.47,8.72,5.31,90.89,86.27,Medium
38.73,25.77,1.17,83.17,90.03,Medium
259.31,63.76,1.52,0.41,43.03,Medium
399.73,6.15,5.4,88.38,50.37,Medium
170.39,54.16,5.82,2.35,72.37,Medium
52.86,96.18,4.54,83.9,8.75,Medium
330.03,27.75,5.43,19.63,16.55,Medium
298.28,67.81,5.25,52.04,90.87,Medium
482.02,20.25,2.06,29.85,27.55,Medium
420.67,18.98,7.54,36.67,64.78,Medium
271.87,69.47,7.04,31.23,39.96,Medium
130.6,96.39,6.73,29.99,62.68,Low
459.55,76.19,3.6,70.48,53.13,Medium
133.08,20.8,1.38,47.48,62.18,Medium
117.9,76.84,1.56,33.0,27.85,Medium
480.61,33.87,1.89,6.4,99.31,Medium
117.4,20.77,3.71,81.63,89.48,Medium
253.05,9.39,6.29,32.2,10.31,Medium
53.52,56.59,4.93,15.49,7.59,Medium
334.85,59.97,5.42,27.17,60.94,Medium
44.59,94.36,1.33,46.49,82.68,Medium
187.03,12.65,4.87,20.45,70.3,Medium
231.91,59.57,4.5,99.41,87.94,Medium
353.91,28.66,0.29,66.86,34.75,Medium
312.4,61.3,6.09,19.86,21.28,Medium
498.15,95.53,0.51,98.61,29.95,Medium
149.63,78.66,6.71,57.79,50.51,Medium
113.12,18.06,0.48,46.56,70.96,Medium
330.62,11.23,3.58,10.74,3.0,Medium
323.65,33.23,4.16,7.75,73.5,Medium
369.01,53.96,5.57,12.17,8.97,Medium
273.18,12.24,5.12,82.87,33.68,Medium
2.98,64.01,0.27,40.02,4.03,Medium
418.51,68.14,7.88,41.8,52.2,Medium
358.44,23.38,5.07,31.48,26.5,Medium
40.39,96.32,3.15,8.1,23.8,Medium
6.49,39.35,2.47,19.41,74.59,Medium
4.06,32.96,5.7,67.17,82.86,Medium
167.08,64.37,5.44,70.43,46.6,Medium
100.8,95.9,2.63,17.67,26.49,Medium
119.81,11.4,6.56,98.68,10.93,Medium
180.97,79.91,4.15,40.65,71.49,Medium
474.93,50.27,7.6,26.4,3.22,Medium
188.37,21.32,0.16,3.55,49.34,Medium
266.11,54.51,4.22,23.06,6.51,Medium
417.02,56.35,5.68,70.57,17.38,Medium
428.2,22.0,2.94,2.57,14.72,Medium
342.7,80.58,3.44,43.43,19.0,Medium
305.28,23.21,2.8,29.63,7.72,Medium
120.59,20.46,3.6,18.46,92.46,Medium
37.43,28.68,0.76,37.98,32.32,Medium
5.6,42.56,3.25,93.11,87.25,Medium
309.65,92.44,4.94,60.02,75.28,Medium
450.67,9.5,2.0,43.09,22.42,Medium
321.47,77.73,7.86,31.35,18.49,Medium
294.53,27.82,5.1,18.83,1.52,Medium
340.57,26.92,3.91,45.3,38.34,Medium
38.57,23.14,4.63,67.4,37.86,Medium
389.77,33.0,2.8,73.04,56.78,Medium
494.57,97.96,4.56,86.13,7.12,Medium
230.22,90.23,6.95,16.33,23.47,Medium
142.27,69.95,3.92,38.23,3.07,Medium
363.31,96.16,3.26,88.33,69.77,Medium
146.69,62.47,1.88,40.84,11.87,Medium
123.7,22.02,0.97,62.13,17.87,Medium
484.06,55.79,2.91,3.17,76.45,Medium
48.48,60.81,0.11,26.09,79.93,Low
105.56,57.85,5.48,80.63,5.97,Medium
283.79,17.35,1.26,79.63,14.6,Medium
227.49,93.72,7.86,25.98,62.04,Medium
307.84,96.07,3.51,90.66,30.99,Medium
361.85,71.16,1.87,52.82,63.27,Medium
8.85,12.4,6.33,88.72,86.26,Medium
141.13,72.08,5.88,85.0,99.94,Medium
431.94,70.02,4.48,52.24,98.22,Medium
86.71,42.73,1.97,86.79,69.85,Medium
386.76,54.1,0.3,19.62,88.79,Medium
417.25,61.18,0.25,19.08,87.95,Medium
12.3,9.47,1.06,55.29,82.28,Medium
351.87,57.0,2.79,44.16,7.06,Medium
432.11,23.25,2.59,59.08,73.74,Medium
169.31,99.7,7.79,43.75,5.29,Medium
71.62,7.81,5.55,12.59,48.91,Medium
280.18,22.64,1.9,63.37,57.28,Medium
417.74,69.88,2.97,5.37,40.19,Medium
404.48,70.58,5.51,18.89,94.95,Medium
166.89,13.84,0.91,66.82,94.31,Medium
428.35,75.3,4.58,94.64,74.42,Medium
375.71,5.56,1.25,32.56,69.15,Medium
454.06,37.04,3.51,56.75,11.22,Medium
443.13,34.06,4.67,38.48,40.11,Medium
280.5,94.43,1.88,7.09,94.21,Medium
36.01,32.9,5.91,0.76,69.72,Medium
114.96,55.95,3.42,62.78,21.85,Medium
27.78,27.47,4.13,55.85,82.37,Medium
311.48,84.96,3.87,80.43,21.77,Medium
117.72,53.6,1.19,34.85,89.92,Medium
496.7,83.59,6.77,75.53,4.05,Medium
123.26,1.86,6.22,32.69,22.92,Medium
316.78,58.25,4.26,2.82,5.56,Medium
66.32,87.23,6.96,2.67,66.53,Medium
120.04,39.57,2.11,21.85,47.92,Medium
124.41,71.58,5.39,38.69,61.67,Medium
309.37,96.99,7.61,6.77,32.78,Medium
469.86,98.83,2.57,55.07,2.89,Medium
49.05,28.91,6.75,83.9,62.74,Medium
144.41,68.24,4.45,10.87,86.64,Medium
189.04,11.67,1.23,34.5,30.51,Medium
357.54,59.19,6.76,14.83,52.19,Medium
159.76,18.92,0.61,50.24,83.99,Medium
348.32,69.65,3.08,4.48,37.5,Medium
163.05,80.86,5.6,38.18,69.45,Medium
276.88,9.65,7.52,9.5,73.92,Medium
21.87,64.93,6.56,4.64,38.96,Medium
435.46,85.19,1.97,28.01,67.27,Low
147.74,87.91,4.41,83.86,31.2,Medium
197.22,53.41,3.5,48.99,14.47,Medium
63.31,19.85,0.46,34.08,1.4,Medium
454.22,13.37,0.79,88.39,8.58,Medium
459.44,20.4,1.88,87.66,30.31,Medium
392.03,11.27,7.18,82.96,59.35,Medium
304.23,14.85,4.71,90.97,60.68,Medium
34.17,66.8,6.03,34.41,5.6,Medium
364.04,54.17,5.67,26.39,27.43,Medium
84.4,43.79,4.45,85.32,25.23,Medium
7.98,19.4,2.37,5.97,99.02,Medium
379.08,74.38,1.23,73.48,77.4,Medium
477.68,6.87,5.82,19.75,47.23,Medium
116.84,50.48,0.45,75.21,31.61,Medium
178.38,38.2,5.89,97.35,79.68,Medium
178.22,70.91,6.05,66.34,27.82,Medium
185.74,51.62,5.67,50.56,63.61,Medium
167.53,17.85,2.1,50.53,97.25,Medium
249.51,59.12,3.88,0.36,66.2,Medium
463.29,66.05,6.98,38.54,66.69,Medium
73.7,28.94,2.54,63.35,73.89,Medium
401.1,37.89,2.45,96.48,92.18,Medium
340.87,52.77,5.92,68.36,68.94,Medium
250.5,20.61,4.67,53.77,14.9,Medium
225.9,69.24,7.54,14.95,47.29,Medium
53.25,93.25,5.91,43.38,86.63,Medium
287.85,95.3,3.64,67.85,71.99,Medium
180.88,89.97,6.07,30.67,60.95,Medium
151.39,80.06,1.22,75.67,93.63,Medium
270.29,12.59,2.92,0.78,74.27,Medium
324.24,77.86,7.82,94.55,20.4,Medium
65.38,55.35,6.07,11.09,86.08,Medium
140.67,95.23,4.72,49.89,68.56,Medium
434.29,38.15,3.4,84.57,2.62,Medium
211.23,20.06,7.59,93.77,34.22,Medium
449.31,47.61,0.11,79.08,98.71,Medium
400.63,99.19,2.55,45.79,39.63,Medium
402.78,25.74,5.64,97.75,56.4,Medium
170.06,93.26,7.43,71.03,66.39,Medium
485.4,4.84,3.81,58.04,93.32,Medium
165.82,30.8,2.83,74.18,7.15,Medium
100.71,72.89,6.5,5.58,82.08,Medium
355.85,54.74,6.62,0.59,47.77,Medium
112.82,80.34,1.97,41.21,55.76,Medium
354.09,57.6,2.3,64.76,93.37,Medium
33.04,85.05,4.54,38.78,36.8,Medium
424.41,49.36,7.51,46.58,70.05,Medium
313.09,66.8,6.83,96.65,62.4,Medium
380.37,31.03,2.7,29.13,9.78,Medium
463.86,10.83,5.51,32.24,12.46,Medium
61.47,28.52,5.75,81.99,21.92,Medium
22.87,56.02,4.04,98.34,25.98,Medium
349.12,38.59,0.49,11.31,32.68,Medium
346.03,37.35,2.74,50.48,2.56,Medium
429.8,2.3,7.05,24.52,84.13,Low
338.58,71.39,6.73,24.15,11.83,Medium
154.64,29.81,1.45,8.9,87.98,Medium
54.7,23.34,0.31,68.84,8.7,Medium
149.9,30.52,7.63,40.84,45.01,Medium
281.02,13.26,0.55,11.74,11.16,Medium
375.01,57.01,5.89,72.26,21.86,Medium
355.85,86.31,3.2,33.8,40.22,Medium
149.83,14.88,3.96,77.49,44.53,Medium
118.7,18.88,3.57,31.91,6.57,Medium
287.03,44.39,7.74,16.0,38.62,Medium
308.84,35.95,4.32,32.47,50.82,Medium
482.12,39.76,1.06,30.78,57.93,Medium
347.94,45.97,0.24,35.03,21.51,Medium
231.67,84.05,5.64,88.23,65.84,Medium
485.87,49.61,2.42,8.98,31.28,Medium
305.87,68.09,7.59,3.03,49.44,Medium
300.94,23.63,5.88,63.84,67.24,Medium
448.39,16.74,5.88,33.62,37.45,Medium
193.9,62.45,4.26,67.4,82.11,Medium
44.62,0.3,4.63,6.86,88.43,Medium
203.65,94.29,1.35,0.63,21.88,Medium
1.34,25.09,0.51,13.85,82.96,Medium
28.05,6.94,4.1,16.74,73.04,Medium
129.62,30.18,1.02,48.21,2.21,Medium
17.01,57.36,0.37,38.86,44.41,Medium
371.05,4.93,0.21,24.78,18.46,Medium
240.45,73.37,2.25,49.52,24.62,Medium
90.14,87.52,1.92,71.85,63.39,Medium
360.66,68.07,7.57,42.56,0.37,Medium
38.55,76.42,3.8,61.18,22.79,Medium
305.6,85.75,4.02,30.99,53.58,Medium
49.18,72.09,4.54,93.49,32.85,Medium
216.33,83.04,4.54,65.87,54.76,Medium
6.28,88.13,6.94,77.89,42.03,Medium
296.74,86.0,3.99,12.46,30.25,Medium
289.36,56.54,0.39,5.81,37.07,Medium
221.08,97.91,0.18,77.72,99.25,Medium
151.66,0.44,6.46,73.9,96.13,Medium
194.98,10.26,6.34,16.64,4.81,Medium
395.24,62.57,6.17,68.95,18.88,Medium
433.18,32.04,4.65,99.42,15.12,Medium
182.12,99.32,5.38,89.69,97.49,Medium
395.1,80.42,1.19,55.36,24.37,Medium
296.91,65.71,6.21,15.41,87.77,Medium
324.72,12.85,3.42,55.33,63.06,Medium
193.98,17.33,3.87,23.96,49.73,Medium
3.31,98.89,5.74,68.55,92.67,Medium
471.61,79.21,0.81,59.51,60.78,Medium
322.3,7.16,6.22,9.64,85.49,Medium
116.66,22.43,4.75,42.14,30.98,Medium
317.13,78.28,7.91,46.46,82.1,Medium
176.05,11.74,3.27,4.94,28.08,Medium
47.98,24.07,7.01,54.67,66.35,Medium
137.82,44.77,4.87,82.25,46.23,Medium
214.75,91.41,3.56,84.59,27.67,Medium
329.31,10.47,2.45,92.08,35.09,Medium
469.14,19.36,1.51,95.65,96.31,Medium
392.32,90.79,0.02,75.19,44.13,Medium
49.98,91.39,4.84,92.1,37.74,Medium
411.78,25.52,0.66,43.25,66.16,Medium
88.43,59.36,5.55,41.17,98.34,Medium
394.45,63.19,5.46,38.18,83.51,Medium
79.4,8.35,5.04,18.97,2.91,Medium
492.55,85.08,7.85,51.32,81.74,Medium
396.59,45.54,3.86,73.88,82.52,Medium
81.55,4.75,7.79,2.83,45.72,Medium
488.98,17.22,6.76,92.15,31.01,Medium
411.18,30.09,0.06,71.45,39.81,Medium
300.47,100.0,3.35,3.39,20.59,Medium
271.9,21.92,2.25,84.53,52.76,Medium
61.54,98.49,5.23,5.38,0.41,Medium
463.9,93.92,4.02,47.23,47.1,Medium
53.27,57.3,1.61,24.92,59.97,Low
116.92,65.08,6.82,99.58,51.99,Medium
115.48,12.4,0.07,66.26,28.4,Medium
36.84,45.02,5.52,63.85,49.15,Medium
297.03,67.87,1.43,5.73,68.57,Medium
352.9,72.73,6.86,5.66,25.2,Medium
292.73,18.27,0.19,15.53,54.63,Medium
93.68,83.45,7.65,69.82,54.9,Medium
64.9,50.09,2.58,92.05,85.53,Medium
334.97,91.93,0.56,45.56,56.68,Medium
316.67,45.6,6.89,76.27,83.19,Medium
336.04,53.23,6.45,8.87,99.01,Medium
36.09,18.54,4.35,14.14,52.94,Medium
273.6,30.2,5.18,68.15,79.11,Medium
490.4,95.45,7.66,54.16,12.45,Medium
385.68,22.85,5.18,73.37,62.87,Medium
483.76,68.48,5.59,41.86,41.2,Medium
288.33,94.13,1.11,99.39,11.83,Medium
207.85,86.14,2.32,70.91,8.66,Medium
113.47,89.31,3.69,94.84,89.65,Medium
353.2,64.93,2.54,20.0,91.91,Medium
212.3,63.78,3.11,36.26,29.34,Medium
360.76,98.05,2.39,41.37,82.59,Medium
142.47,58.37,3.56,52.44,45.52,Medium
176.32,96.38,6.56,15.28,57.71,Medium
451.4,78.76,3.74,62.64,57.38,Medium
172.68,4.68,7.44,20.6,45.51,Good
23.12,0.48,1.49,69.55,60.8,Medium
100.62,89.95,4.01,95.17,19.74,Medium
200.05,64.66,4.46,70.51,69.31,Medium
428.77,99.13,6.49,36.54,62.46,Medium
443.96,47.82,4.69,27.95,53.36,Medium
427.93,77.69,5.66,62.86,65.49,Medium
157.79,53.79,7.89,43.41,11.8,Medium
390.31,41.74,3.17,12.7,44.88,Medium
281.15,19.91,7.05,78.78,29.04,Medium
13.95,97.68,6.18,10.25,24.55,Medium
463.91,95.22,0.98,45.15,45.4,Medium
479.4,81.85,7.02,39.61,24.02,Medium
297.63,53.41,3.16,11.92,41.36,Medium
159.37,75.24,4.95,0.02,34.36,Medium
160.63,82.55,4.42,89.4,47.16,Medium
78.62,42.11,3.46,18.46,18.93,Medium
35.61,8.25,4.82,33.53,75.58,Medium
15.41,47.71,0.08,73.45,3.26,Medium
229.65,8.52,0.53,19.27,17.53,Medium
197.47,24.09,4.7,69.11,35.96,Medium
463.61,31.98,1.68,54.59,69.67,Medium
11.18,0.95,7.51,90.95,96.46,Medium
116.01,58.43,2.76,63.89,80.37,Medium
54.25,12.23,4.39,96.34,86.54,Medium
304.32,21.79,4.12,75.18,66.22,Medium
462.9,44.23,7.86,80.43,79.75,Medium
287.84,49.11,5.59,54.36,39.69,Medium
28.53,71.0,3.82,0.99,88.87,Medium
421.41,6.7,7.14,98.8,69.1,Medium
136.55,62.0,2.86,41.47,19.35,Medium
401.18,60.98,1.4,17.72,86.85,Medium
110.52,67.74,4.46,87.31,98.15,Medium
59.66,43.41,5.89,32.41,89.27,Medium
251.53,12.48,1.87,96.71,56.47,Medium
255.12,36.82,2.26,9.48,84.87,Medium
80.97,38.31,7.13,78.98,22.23,Medium
290.42,53.82,6.09,87.1,30.24,Medium
337.26,90.9,1.1,28.78,77.39,Medium
0.11,65.65,7.37,38.39,83.22,Medium
242.65,90.43,2.31,1.21,55.79,Medium
427.23,99.26,7.86,77.68,83.96,Medium
231.29,61.99,5.87,14.37,32.34,Medium
150.13,10.67,7.99,15.05,17.11,Medium
345.05,77.03,2.96,75.47,43.31,Medium
122.6,88.84,5.09,21.79,95.85,Low
327.83,80.59,3.67,15.66,83.16,Medium
131.24,9.52,2.05,48.81,99.24,Medium
148.68,17.0,2.42,24.17,52.52,Medium
232.52,96.44,5.05,81.73,18.93,Medium
286.15,96.39,3.15,56.35,49.26,Medium
181.98,32.56,3.88,89.79,92.44,Medium
298.22,62.55,6.94,99.19,62.08,Medium
64.87,93.28,7.37,17.09,1.53,Medium
81.55,27.91,2.48,55.55,37.25,Medium
319.94,38.07,5.2,10.62,60.59,Medium
160.52,83.17,4.87,21.11,27.44,Low
184.86,96.77,4.05,49.54,94.41,Medium
37.61,42.1,6.5,44.95,33.99,Medium
194.02,73.22,0.4,8.13,47.1,Medium
